restaurant_name,cuisines,avg_cost_for_two,has_table_booking,has_online_delivery,price_range,rating,votes
Club Mojo,Multicuisine,2000,True,False,4,2.6,35
KFC,Fast Food,500,False,True,2,2.6,134
Not Just Paranthas,North Indian,1100,True,True,3,2.7,426
Shree Rathnam,Multicuisine,800,False,True,2,2.9,108
Mogli's Coffee,Cafe,150,False,False,1,3.8,35
Pind Balluchi,North Indian,800,False,True,2,2.6,26
Sip n Bite,Multicuisine,500,False,True,2,3.2,38
Abar Khabo,East Indian,550,False,True,2,3.6,86
Moti Mahal Delux,North Indian,1000,True,True,3,3.6,29
The Lost Mughal,Multicuisine,700,False,True,2,3.8,43
Fortune Deli - Fortune Select Excalibur,Cafe,1000,False,False,3,3.6,42
India on my Plate - Fortune Select Excalibur,North Indian,2000,True,False,4,4.0,111
Orchid - Fortune Select Global,Multicuisine,2500,True,False,4,2.6,20
Hungry Buffoons,Multicuisine,300,False,False,1,2.7,24
Karim's,North Indian,1000,True,True,3,2.8,261
Manhattan Brewery & Bar Exchange,Multicuisine,2000,False,False,4,4.6,2093
Di Miso,Multicuisine,1500,False,False,3,3.6,38
Kuuraku,Asian,1250,True,False,3,3.9,106
Vapour Bar Exchange,Multicuisine,1600,True,False,3,3.8,31
19 Flavours Biryani,Multicuisine,700,False,True,2,4.1,84
Bhai Ji Foods,Multicuisine,400,False,True,1,3.3,165
Captain Bill$ Deliverz,Fast Food,1000,False,True,3,2.7,185
Curry n Phulka,Multicuisine,550,False,True,2,2.8,48
Jaguar,Multicuisine,800,True,False,2,2.8,14
Jalsa Lounge,Multicuisine,850,True,False,2,3.2,37
Lord of Grillz,Multicuisine,800,False,True,2,3.2,30
Midnight Cravings Beyond Control,Multicuisine,800,False,True,2,3.3,336
Outback,Multicuisine,1000,True,True,3,3.4,106
The Cinnamon Kitchen,Multicuisine,600,False,False,2,3.4,50
Dudleys,Multicuisine,1000,False,True,3,4.6,150
